Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2020-01-02,812800.0,832000.0,742400.0,761600.0,2
2020-01-03,806400.0,838400.0,768000.0,768000.0,1
2020-01-06,992000.0,1011200.0,806400.0,812800.0,3
2020-01-07,1043200.0,1395200.0,985600.0,1139200.0,22
2020-01-08,1056000.0,1062400.0,966400.0,1024000.0,2
2020-01-09,1036800.0,1056000.0,992000.0,1024000.0,1
2020-01-10,1011200.0,1113600.0,1011200.0,1081600.0,1
2020-01-13,928000.0,1049600.0,902400.0,1017600.0,1
2020-01-14,953600.0,1030400.0,908800.0,1030400.0,1
2020-01-15,889600.0,947200.0,857600.0,928000.0,1
2020-01-16,1011200.0,1017600.0,889600.0,889600.0,1
2020-01-17,992000.0,1017600.0,940800.0,960000.0,1
2020-01-21,915200.0,921600.0,851200.0,864000.0,1
2020-01-22,838400.0,902400.0,838400.0,889600.0,1
2020-01-23,889600.0,915200.0,864000.0,896000.0,1
2020-01-24,1043200.0,1267200.0,972800.0,1164800.0,24
2020-01-27,1049600.0,1068800.0,921600.0,953600.0,2
2020-01-28,972800.0,1068800.0,953600.0,1068800.0,1
2020-01-29,876800.0,972800.0,876800.0,972800.0,1
2020-01-30,844800.0,896000.0,832000.0,883200.0,1
2020-01-31,896000.0,915200.0,800000.0,819200.0,1
2020-02-03,889600.0,921600.0,870400.0,889600.0,0
2020-02-04,1043200.0,1043200.0,889600.0,889600.0,2
2020-02-05,1088000.0,1145600.0,992000.0,1036800.0,3
2020-02-06,556800.0,710400.0,448000.0,448000.0,8
2020-02-07,339200.0,377600.0,332800.0,339200.0,16
2020-02-10,320000.0,339200.0,307200.0,339200.0,3
2020-02-11,300800.0,320000.0,288000.0,313600.0,3
2020-02-12,300800.0,307200.0,294400.0,300800.0,1
2020-02-13,300800.0,313600.0,288000.0,300800.0,2
2020-02-14,281600.0,307200.0,275200.0,307200.0,4
2020-02-18,275200.0,281600.0,262400.0,281600.0,2
2020-02-19,268800.0,281600.0,262400.0,281600.0,1
2020-02-20,288000.0,300800.0,268800.0,275200.0,2
2020-02-21,275200.0,294400.0,268800.0,294400.0,2
2020-02-24,275200.0,275200.0,256000.0,268800.0,2
